Date,Name of Species,Small (in Rs.),Medium (in Rs.),Large (in Rs.)
1/1/2022,Asian Seabass,804.11,0,0
1/1/2022,Big eye trevally,639.48,0,0
1/1/2022,Black barred half beak,701.09,0,0
1/1/2022,Black pomfret,788.99,0,0
1/1/2022,Blue Swimming Crab,776.08,0,0
1/1/2022,Bombay duck,388.22,0,0
1/1/2022,Flower tail prawn,733.48,0,0
1/1/2022,Four finger thread fin,680.14,0,0
1/1/2022,Frigate tuna,492.64,0,0
1/1/2022,Giant catfish,650.83,0,0
1/1/2022,Giant tiger prawn,577.31,0,0
1/1/2022,Gold spot mullet,639.39,0,0
1/1/2022,Gold spotted granadier anchovy,313.51,0,0
1/1/2022,Greasy grouper,665.97,0,0
1/1/2022,Green mud crab,825.29,0,0
1/1/2022,Grey mullet,576.86,0,0
1/1/2022,Hound needle fish,610.14,0,0
1/1/2022,Indian mackerel,535.31,0,0
1/1/2022,Indian squid,652.63,0,0
1/1/2022,Indian white prawn,600.21,0,0
1/1/2022,Indo-pacific seer fish,1082.82,0,0
1/1/2022,Japanese threadfin bream,526.01,0,0
1/1/2022,Jinga prawn,539.09,0,0
1/1/2022,John\'s snapper,672.37,0,0
1/1/2022,Kiddi shrimp,490.3,0,0
1/1/2022,Little tuna,631.11,0,0
1/1/2022,Long tail tuna,537.61,0,0
1/1/2022,Malabar anchovy,457.66,0,0
1/1/2022,Malabar blood snapper,596.12,0,0
1/1/2022,Malabar grouper,628.75,0,0
1/1/2022,Narrow-barred spanish mackerel,1080.82,0,0
1/1/2022,Pearl Spot,423.22,0,0
1/1/2022,Silver pomfret,739.35,0,0
1/1/2022,Small head hairtail,348.97,0,0
1/1/2022,Spineless cuttle fish,618.46,0,0
1/1/2022,Spiny cheek grouper,735.39,0,0
1/1/2022,Spotted crab,592.94,0,0
1/1/2022,Spotted eagle ray,725.83,0,0
2/1/2022,Asian Seabass,873.68,0,0
2/1/2022,Big eye trevally,684.11,0,0
2/1/2022,Black barred half beak,728.4,0,0
2/1/2022,Black pomfret,867.65,0,0
2/1/2022,Blue Swimming Crab,745.74,0,0
2/1/2022,Bombay duck,399.81,0,0
2/1/2022,Flower tail prawn,713.53,0,0
2/1/2022,Four finger thread fin,706.5,0,0
2/1/2022,Frigate tuna,475.87,0,0
2/1/2022,Giant catfish,721.68,0,0
2/1/2022,Giant tiger prawn,572.43,0,0
2/1/2022,Gold spot mullet,648.48,0,0
2/1/2022,Gold spotted granadier anchovy,316.7,0,0
2/1/2022,Greasy grouper,711.14,0,0
2/1/2022,Green mud crab,830.9,0,0
2/1/2022,Grey mullet,576.57,0,0
2/1/2022,Hound needle fish,630.95,0,0
2/1/2022,Indian mackerel,553.05,0,0
2/1/2022,Indian squid,642.12,0,0
2/1/2022,Indian white prawn,646.31,0,0
2/1/2022,Indo-pacific seer fish,1134.29,0,0
2/1/2022,Japanese threadfin bream,540.26,0,0
2/1/2022,Jinga prawn,592.36,0,0
2/1/2022,John\'s snapper,760.07,0,0
2/1/2022,Kiddi shrimp,487.81,0,0
2/1/2022,Little tuna,644.76,0,0
2/1/2022,Long tail tuna,569.79,0,0
2/1/2022,Malabar anchovy,468.6,0,0
2/1/2022,Malabar blood snapper,602.33,0,0
2/1/2022,Malabar grouper,677.11,0,0
2/1/2022,Narrow-barred spanish mackerel,1149.11,0,0
2/1/2022,Pearl Spot,429.12,0,0
2/1/2022,Silver pomfret,789.86,0,0
2/1/2022,Small head hairtail,347.25,0,0
2/1/2022,Spineless cuttle fish,675.62,0,0
2/1/2022,Spiny cheek grouper,766.73,0,0
2/1/2022,Spotted crab,678.08,0,0
2/1/2022,Spotted eagle ray,682.65,0,0
3/1/2022,Asian Seabass,780.68,0,0
3/1/2022,Big eye trevally,590.02,0,0
3/1/2022,Black barred half beak,593.21,0,0
3/1/2022,Black pomfret,798.09,0,0
3/1/2022,Blue Swimming Crab,690.05,0,0
3/1/2022,Bombay duck,369.47,0,0
3/1/2022,Flower tail prawn,614.87,0,0
3/1/2022,Four finger thread fin,579.57,0,0
3/1/2022,Frigate tuna,440.01,0,0
3/1/2022,Giant catfish,640.08,0,0
3/1/2022,Giant tiger prawn,485.06,0,0
3/1/2022,Gold spot mullet,584.81,0,0
3/1/2022,Gold spotted granadier anchovy,266.47,0,0
3/1/2022,Greasy grouper,627.29,0,0
3/1/2022,Green mud crab,751.07,0,0
3/1/2022,Grey mullet,543.52,0,0
3/1/2022,Hound needle fish,518.01,0,0
3/1/2022,Indian mackerel,470.62,0,0
3/1/2022,Indian squid,577.91,0,0
3/1/2022,Indian white prawn,547.01,0,0
3/1/2022,Indo-pacific seer fish,1011,0,0
3/1/2022,Japanese threadfin bream,454.34,0,0
3/1/2022,Jinga prawn,482.09,0,0
3/1/2022,John\'s snapper,646.09,0,0
3/1/2022,Kiddi shrimp,429.69,0,0
3/1/2022,Little tuna,565.69,0,0
3/1/2022,Long tail tuna,534.38,0,0
3/1/2022,Malabar anchovy,402.5,0,0
3/1/2022,Malabar blood snapper,555.08,0,0
3/1/2022,Malabar grouper,590.59,0,0
3/1/2022,Narrow-barred spanish mackerel,1083.25,0,0
3/1/2022,Pearl Spot,381.34,0,0
3/1/2022,Silver pomfret,696.96,0,0
3/1/2022,Small head hairtail,301.45,0,0
3/1/2022,Spineless cuttle fish,590.1,0,0
3/1/2022,Spiny cheek grouper,662.77,0,0
3/1/2022,Spotted crab,561.41,0,0
3/1/2022,Spotted eagle ray,617.81,0,0
4/1/2022,Asian Seabass,754.79,0,0
4/1/2022,Big eye trevally,587.55,0,0
4/1/2022,Black barred half beak,570.8,0,0
4/1/2022,Black pomfret,760.6,0,0
4/1/2022,Blue Swimming Crab,661.92,0,0
4/1/2022,Bombay duck,336.14,0,0
4/1/2022,Flower tail prawn,622.44,0,0
4/1/2022,Four finger thread fin,578.88,0,0
4/1/2022,Frigate tuna,390.21,0,0
4/1/2022,Giant catfish,610.46,0,0
4/1/2022,Giant tiger prawn,512.54,0,0
4/1/2022,Gold spot mullet,571.52,0,0
4/1/2022,Gold spotted granadier anchovy,261.92,0,0
4/1/2022,Greasy grouper,584.88,0,0
4/1/2022,Green mud crab,726.33,0,0
4/1/2022,Grey mullet,498.27,0,0
4/1/2022,Hound needle fish,526.09,0,0
4/1/2022,Indian mackerel,484.74,0,0
4/1/2022,Indian squid,559.75,0,0
4/1/2022,Indian white prawn,518.42,0,0
4/1/2022,Indo-pacific seer fish,950.14,0,0
4/1/2022,Japanese threadfin bream,456.43,0,0
4/1/2022,Jinga prawn,489.65,0,0
4/1/2022,John\'s snapper,644.7,0,0
4/1/2022,Kiddi shrimp,421.25,0,0
4/1/2022,Little tuna,552.16,0,0
4/1/2022,Long tail tuna,494.92,0,0
4/1/2022,Malabar anchovy,380.36,0,0
4/1/2022,Malabar blood snapper,528.79,0,0
4/1/2022,Malabar grouper,561.99,0,0
4/1/2022,Narrow-barred spanish mackerel,988.09,0,0
4/1/2022,Pearl Spot,358.59,0,0
4/1/2022,Silver pomfret,668.87,0,0
4/1/2022,Small head hairtail,300.52,0,0
4/1/2022,Spineless cuttle fish,537.31,0,0
4/1/2022,Spiny cheek grouper,624.16,0,0
4/1/2022,Spotted crab,534.85,0,0
4/1/2022,Spotted eagle ray,597.94,0,0
5/1/2022,Asian Seabass,729.62,0,0
5/1/2022,Big eye trevally,593.54,0,0
5/1/2022,Black barred half beak,583.87,0,0
5/1/2022,Black pomfret,716.89,0,0
5/1/2022,Blue Swimming Crab,650.91,0,0
5/1/2022,Bombay duck,347.36,0,0
5/1/2022,Flower tail prawn,659.7,0,0
5/1/2022,Four finger thread fin,608.98,0,0
5/1/2022,Frigate tuna,437.41,0,0
5/1/2022,Giant catfish,588.5,0,0
5/1/2022,Giant tiger prawn,539.15,0,0
5/1/2022,Gold spot mullet,533.65,0,0
5/1/2022,Gold spotted granadier anchovy,272.23,0,0
5/1/2022,Greasy grouper,565.31,0,0
5/1/2022,Green mud crab,741.2,0,0
5/1/2022,Grey mullet,496.91,0,0
5/1/2022,Hound needle fish,533.81,0,0
5/1/2022,Indian mackerel,490.28,0,0
5/1/2022,Indian squid,523.07,0,0
5/1/2022,Indian white prawn,592.01,0,0
5/1/2022,Indo-pacific seer fish,1018.24,0,0
5/1/2022,Japanese threadfin bream,473.11,0,0
5/1/2022,Jinga prawn,507.97,0,0
5/1/2022,John\'s snapper,643.02,0,0
5/1/2022,Kiddi shrimp,441.31,0,0
5/1/2022,Little tuna,575.02,0,0
5/1/2022,Long tail tuna,480.45,0,0
5/1/2022,Malabar anchovy,404.18,0,0
5/1/2022,Malabar blood snapper,539.11,0,0
5/1/2022,Malabar grouper,529.52,0,0
5/1/2022,Narrow-barred spanish mackerel,993.38,0,0
5/1/2022,Pearl Spot,397.76,0,0
5/1/2022,Silver pomfret,706.47,0,0
5/1/2022,Small head hairtail,324.25,0,0
5/1/2022,Spineless cuttle fish,582.79,0,0
5/1/2022,Spiny cheek grouper,658.65,0,0
5/1/2022,Spotted crab,570.5,0,0
5/1/2022,Spotted eagle ray,664.39,0,0
6/1/2022,Asian Seabass,699.4,0,0
6/1/2022,Big eye trevally,594.29,0,0
